objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Adrenaline","202408","7","1","0","0","0","0","0","0","1","0","0","3","","","","","","37496300","6.67731","7.04456","2.3525","781","7591","thing","Adrenaline","3","5","60","60","30","2016","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Adrenaline: Chainsaw","210100","0","","0","0","0","0","0","0","1","0","0","1","","","","","","37511104","5.68194","7.33259","2.3333","0","925","thing","Adrenaline: Chainsaw","3","5","60","60","30","2016","3,4,5","4","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Age of Empires III: The Age of Discovery","22545","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","29409833","7.21995","7.53466","3.1276","230","8264","thing","Age of Empires III: The Age of Discovery","2","5","120","120","90","2007","3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola","31260","5","6","0","0","0","0","0","0","1","0","0","3","","","","","","28932671","7.82063","7.93608","3.639","32","77129","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Akrotiri","154458","0","","0","0","0","0","0","0","0","0","0","4","","","","","","33690311","6.70079","7.24015","2.6603","730","6288","thing","Akrotiri","2","2","45","45","45","2014","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Alchemists","161970","7.5","6","0","1","1","0","0","0","0","0","0","3","","","","","","28938357","7.45454","7.67541","3.9064","115","24713","thing","Alchemists","2","4","120","120","120","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Alchemists: Ring of Favor","167849","0","","0","1","0","0","0","0","0","0","0","1","","","","","","37496434","5.74489","7.57839","3.5833","0","1627","thing","Alchemists: Ring of Favor","2","4","90","90","90","2014","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Alchemists: The King's Golem","204650","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36628040","6.6082","8.41708","4.5758","0","5284","thing","Alchemists: The King's Golem","2","4","120","0","120","2016","2,3,4","","14+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Artifacts","181293","0","","0","0","0","0","0","0","0","0","0","4","","","","","","39985950","6.17192","6.65407","2.9138","1845","4459","thing","Alien Artifacts","2","5","60","60","60","2017","2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Alien Frontiers","48726","0","","0","0","0","0","0","0","0","0","0","5","","","","","","29414630","7.19329","7.4019","2.5702","249","14754","thing","Alien Frontiers","2","4","90","90","90","2010","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Anachrony","185343","3","1","0","0","0","0","0","0","1","0","0","2","","","","","","39526318","7.74542","8.10741","4.0014","47","16615","thing","Anachrony","1","4","120","120","30","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Anachrony: Exosuit Commander Pack","218791","0","","0","0","0","0","0","0","1","0","0","3","","","","","","58977519","6.84466","8.50502","3.9474","0","6031","thing","Anachrony: Exosuit Commander Pack","1","4","120","120","60","2017","2,3,4","","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner","124742","6","3","0","0","0","0","0","0","1","0","0","3","","","","","","28932692","7.67294","7.87708","3.3902","60","41999","thing","Android: Netrunner","2","2","45","45","45","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ankh'or","271530","0","","0","0","0","0","0","0","0","0","1","4","","","","","","58203683","5.92557","7.02217","1.7727","2868","1460","thing","Ankh'or","2","4","30","30","30","2019","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"AquaSphere","159508","6","1","0","0","0","0","0","0","1","0","0","1","","","","","","37496359","6.91413","7.27793","3.6942","488","10214","thing","AquaSphere","2","4","100","100","100","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arboretum","140934","0","","0","0","0","0","0","0","0","0","0","4","","","","","","33072668","7.15922","7.37619","2.1559","270","24223","thing","Arboretum","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcadia Quest","155068","0","","0","0","0","0","0","0","0","0","0","4","","","","","","29776256","7.28855","7.69105","2.5352","195","14751","thing","Arcadia Quest","2","4","60","60","60","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcadia Quest: Inferno","179803","0","","0","0","0","0","0","0","0","0","0","1","","","","","","31842441","6.79413","7.97914","2.4091","607","6546","thing","Arcadia Quest: Inferno","2","4","120","120","60","2017","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Archipelago","105551","8.5","2","0","1","0","0","0","0","0","0","0","1","","","","","","33349909","6.97744","7.34019","3.7352","416","10114","thing","Archipelago","2","5","240","240","30","2012","2,3,4,5","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Archipelago","105551","8","2","0","0","0","0","0","0","0","0","0","3","","","","","","33349950","6.97744","7.34019","3.7352","416","10114","thing","Archipelago","2","5","240","240","30","2012","2,3,4,5","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Archipelago: Solo Expansion","134323","0","","0","1","0","0","0","0","0","0","0","4","","","","","","44597144","5.98625","7.17493","3.5306","0","2659","thing","Archipelago: Solo Expansion","1","1","60","60","60","2012","1","1","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Archipelago: War & Peace","154863","0","","0","1","0","0","0","0","0","0","0","3","","","","","","44597147","6.07053","7.81452","3.1304","0","2801","thing","Archipelago: War & Peace","2","5","240","240","240","2014","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Arctic Scavengers: Base Game+HQ+Recon","174226","0","","0","0","0","0","0","0","0","0","1","3","","","","","","40076990","6.53547","7.27847","2.2533","0","5125","thing","Arctic Scavengers: Base Game+HQ+Recon","1","5","60","60","30","2015","2,3,4,5","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Argent: The Consortium","144797","0","","0","0","0","0","0","0","0","0","1","4","","","","","","34155210","6.94972","7.68035","3.8162","444","5037","thing","Argent: The Consortium","2","5","150","150","60","2015","2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","7","","0","0","0","0","0","0","1","0","0","3","","","","","","44685547","7.92661","8.1687","3.4605","23","55067","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Arrival","204675","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","37496234","5.76301","6.72309","2.6471","4119","983","thing","The Arrival","2","4","90","90","75","2016","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Artificial Intelligence","234203","0","","0","0","0","0","0","0","0","0","1","4","","","","","","45006956","0","7.33333","0","0","2","thing","Artificial Intelligence","2","4","120","120","60","0","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ashes Reborn: Rise of the Phoenixborn","167400","6.5","2","0","0","0","0","0","0","1","0","0","1","","","","","","33936416","6.79194","7.2962","2.9181","613","9615","thing","Ashes Reborn: Rise of the Phoenixborn","2","4","120","120","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Assault on Doomrock","149241","6","2","0","0","0","0","0","0","1","0","0","3","","","","","","34191355","6.03246","7.05066","3.1273","2326","1584","thing","Assault on Doomrock","1","4","150","150","150","2014","1,2,3,4","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Assault on Doomrock: Doompocalypse","172365","0","","0","0","0","0","0","0","1","0","0","3","","","","","","35156884","5.72436","7.5429","3.3636","0","883","thing","Assault on Doomrock: Doompocalypse","1","4","150","150","150","2015","1,2,3","1,2","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Attack on Titan: The Last Stand","181254","7","2","0","0","0","0","0","0","1","0","0","4","","","","","","33390165","5.77468","6.67011","2.1818","4009","1395","thing","Attack on Titan: The Last Stand","2","5","30","30","30","2017","3,4,5","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Automania","176544","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","33617685","6.55254","7.3186","2.734","958","2719","thing","Automania","2","4","90","90","60","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul","230802","7","3","0","0","0","0","0","0","1","0","0","3","","","","","","54678119","7.69609","7.81306","1.7578","54","87142","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"B-Sieged: Sons of the Abyss","164865","2","5","0","0","0","0","0","0","1","0","0","1","","","","","","29614808","5.82369","6.58061","2.7692","3564","2409","thing","B-Sieged: Sons of the Abyss","1","6","90","90","60","2016","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Band of Brothers: Ghost Panzer","129122","0","","0","1","0","0","0","0","0","0","0","1","","","","","","29614815","5.95766","8.02156","2.6875","2696","1329","thing","Band of Brothers: Ghost Panzer","2","2","90","90","90","2013","1,2","2","16+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Band of Brothers: Screaming Eagles","41429","6","1","0","1","0","0","0","0","0","0","0","1","","","","","","29614813","6.08874","7.75784","2.7671","2120","1595","thing","Band of Brothers: Screaming Eagles","2","2","90","90","90","2011","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Band of Brothers: Texas Arrows","153558","0","","0","1","1","0","0","0","0","0","0","1","","","","","","29614817","5.66671","8.37344","2.6","0","713","thing","Band of Brothers: Texas Arrows","2","2","90","90","90","2016","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Bärenpark","219513","0","","0","0","0","0","0","0","0","0","0","3","","","","","","44692136","7.12425","7.3563","1.639","297","17933","thing","Bärenpark","2","4","45","45","30","2017","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BATTALIA: The Creation","178944","0","","0","0","0","0","0","0","0","0","0","5","","","","","","35172253","5.95597","7.38179","3.493","2704","1531","thing","BATTALIA: The Creation","2","4","180","180","60","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BattleCON: Devastation of Indines","123123","0","","0","0","0","0","0","0","0","0","0","3","","","","","","35472574","7.00041","7.90584","3.0769","400","4878","thing","BattleCON: Devastation of Indines","1","5","45","45","45","2013","1,2,3,4,5","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"BattleLore","25417","0","","0","0","0","0","0","0","0","0","0","4","","","","","","34199437","7.01898","7.36616","2.7643","383","10857","thing","BattleLore","2","2","60","60","60","2006","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"BattleLore: Second Edition","146439","0","","0","0","0","0","0","0","0","0","1","4","","","","","","35156990","7.1889","7.7278","2.7034","252","9408","thing","BattleLore: Second Edition","2","2","90","90","45","2013","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game","37111","6","2","0","0","0","0","0","0","1","0","0","3","","","","","","28932679","7.56929","7.74258","3.2464","85","36276","thing","Battlestar Galactica: The Board Game","3","6","180","180","120","2008","4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game – Pegasus Expansion","43539","0","","0","0","0","0","0","0","1","0","0","3","","","","","","29519879","7.25732","7.84878","3.2932","0","12624","thing","Battlestar Galactica: The Board Game – Pegasus Expansion","3","6","180","180","120","2009","4,5,6","5,6","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Belfort","50750","0","","0","0","0","0","0","0","0","0","1","4","","","","","","45332421","6.85021","7.23524","3.047","544","7252","thing","Belfort","2","5","120","120","120","2011","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Beyond Baker Street","168681","0","","0","0","0","0","0","0","0","0","1","3","","","","","","40002778","6.25684","6.88634","2.1892","1571","3590","thing","Beyond Baker Street","2","4","20","20","20","2016","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Blackout: Hong Kong","262215","0","","0","0","0","0","0","0","0","0","1","4","","","","","","54717604","6.92552","7.50029","3.4722","473","7192","thing","Blackout: Hong Kong","1","4","150","150","75","2018","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Rage","170216","7.5","6","0","1","1","0","0","0","0","0","0","1","","","","","","29465812","7.81982","7.99747","2.8821","33","43194","thing","Blood Rage","2","4","90","90","60","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Rage: 5th Player Expansion","174506","0","","0","1","1","0","0","0","0","0","0","1","","","","","","31103088","6.99782","8.09336","2.6061","0","10265","thing","Blood Rage: 5th Player Expansion","5","5","90","90","60","2015","3,4,5","4,5","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Blood Rage: 5th Player Extras – Kickstarter Exclusives","174849","0","","0","1","1","0","0","0","0","0","0","1","","","","","","45365902","5.95566","8.10579","2.7778","0","2007","thing","Blood Rage: 5th Player Extras – Kickstarter Exclusives","2","5","90","90","60","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Blood Rage: Gods of Ásgard","174801","0","","0","1","1","0","0","0","0","0","0","1","","","","","","31103087","6.70369","7.67672","2.5862","0","10060","thing","Blood Rage: Gods of Ásgard","2","4","90","90","60","2015","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Blood Rage: Hili – The Even-Handed","193898","0","","0","1","1","0","0","0","0","0","0","3","","","","","","36697176","5.61269","7.88576","0","0","628","thing","Blood Rage: Hili – The Even-Handed","2","4","90","90","60","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Blood Rage: Kickstarter Exclusives","174388","0","","0","1","1","0","0","0","0","0","0","3","","","","","","31929512","6.22656","8.18603","2.4545","0","3089","thing","Blood Rage: Kickstarter Exclusives","2","4","90","90","60","2015","4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Blood Rage: Mystics of Midgard","175100","0","","0","1","1","0","0","0","0","0","0","1","","","","","","31103089","6.87445","7.90662","2.6786","0","10183","thing","Blood Rage: Mystics of Midgard","2","4","90","90","60","2015","3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Bloodborne: The Card Game","195856","0","","0","0","0","0","0","0","0","0","1","4","","","","","","40413875","6.33374","6.90845","2.0847","1377","5526","thing","Bloodborne: The Card Game","3","5","45","45","30","2016","3,4,5","4,5","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Bloody Inn","180593","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","32710636","6.67447","6.99769","2.3776","786","9685","thing","The Bloody Inn","1","4","60","60","30","2015","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bora Bora","127060","7","2","0","0","0","0","0","0","1","0","0","4","","","","","","37966463","7.24476","7.56303","3.7363","218","12051","thing","Bora Bora","2","4","120","120","60","2013","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bora Bora: Orange God Tiles","149712","0","","0","0","0","0","0","0","1","0","0","1","","","","","","39409170","5.8275","7.44402","2.3125","0","1379","thing","Bora Bora: Orange God Tiles","2","4","60","60","60","2013","2,3,4","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Botanik","271529","0","","0","0","0","0","0","0","0","0","1","4","","","","","","58203678","5.83686","7.88883","1.75","3451","784","thing","Botanik","2","2","20","20","20","2021","2","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Brasil","133731","0","","0","0","0","0","0","0","0","0","1","2","","","","","","28938344","0","7.10667","3.4","0","3","thing","Brasil","2","4","120","120","120","2022","","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Brass: Birmingham","224517","9","2","0","1","0","0","0","0","0","0","0","1","","","","","","54833626","8.40577","8.66896","3.9091","3","33949","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Roxley","English","2018","English deluxe edition"
"Brew Crafters","139898","7","1","0","1","0","0","0","0","0","0","0","1","","","","","","29507730","6.72156","7.43731","3.5764","705","4574","thing","Brew Crafters","2","5","90","90","90","2015","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Dice Hate Me Studio","English","2015","English first edition"
"Bruges","136888","0","","0","0","0","0","0","0","0","0","1","3","","","","","","58391671","7.15694","7.42881","2.7462","272","11222","thing","Bruges","2","4","60","60","60","2013","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Bruxelles 1893","144592","0","","0","1","0","0","0","1","0","0","0","1","","","","","","45365664","7.09514","7.64517","3.5849","313","5719","thing","Bruxelles 1893","2","5","125","125","50","2013","2,3,4,5","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Burano","181260","0","","0","0","0","0","0","0","1","0","0","1","","","","","","39409115","5.98446","6.78953","3.7872","2562","2009","thing","Burano","2","4","120","120","90","2015","2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ca$h 'n Guns (Second Edition)","155362","5","4","0","0","0","0","0","0","1","0","0","3","","","","","","28932689","6.71253","6.88612","1.2553","716","19002","thing","Ca$h 'n Guns (Second Edition)","4","8","30","30","30","2014","4,5,6,7,8","6,7,8","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cacao","171499","0","","0","0","0","0","0","0","0","0","1","3","","","","","","34070524","6.82035","7.10086","1.8171","574","10976","thing","Cacao","2","4","45","45","45","2015","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Captain Sonar","171131","7.5","7","0","1","0","0","0","0","0","0","0","1","","","","","","36328449","7.34406","7.5578","2.1502","168","23064","thing","Captain Sonar","2","8","60","60","45","2016","6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: Amazonas","206940","0","","0","0","0","0","0","0","0","0","0","5","","","","","","36492535","6.29013","7.091","1.9231","1493","3649","thing","Carcassonne: Amazonas","2","5","35","35","35","2016","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: Star Wars","180564","0","","0","0","0","0","0","0","1","0","0","1","","","","","","36328509","6.16596","6.72448","1.6275","1861","4384","thing","Carcassonne: Star Wars","2","5","35","35","35","2015","2,3,4,5","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cards Against Humanity","50381","1","","0","0","0","0","0","0","0","0","0","3","","","","","","54698527","5.7124","5.88315","1.1947","4745","41095","thing","Cards Against Humanity","4","30","30","30","30","2009","4,5,6,7,8,9,10","6,7,8","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Carson City","39938","0","","0","0","0","0","0","0","0","0","0","3","","","","","","29414679","6.90316","7.24117","3.1807","501","5707","thing","Carson City","2","5","90","90","90","2009","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy","84876","8.5","4","0","0","0","0","0","0","1","0","0","3","","","","","","29414516","8.00824","8.1288","2.9984","15","65343","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy","271320","0","","0","0","0","0","0","0","0","0","1","3","","","","","","58150092","7.63135","8.51735","2.9565","0","10159","thing","The Castles of Burgundy","1","4","120","120","70","2019","1,2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
